UF;CASOS
MG;549
MG;163
MG;1439
MG;833
MG;523
MG;566
MG;4916
MG;689
MG;886
MG;753
MG;260
MG;506
MG;842
MG;200
MG;2094
MG;281
MG;189
MG;874
MG;8555
MG;445
MG;279
MG;267
MG;2578
MG;865
MG;504
MG;345
MG;700
MG;297
MG;414
MG;250
MG;557
MG;139
MG;1918
MG;637
MG;511
MG;1710
MG;2551
MG;30094
MG;352
MG;1229
MG;697
MG;18087
MG;1064
MG;11732
MG;140
MG;502
MG;1821
MG;360
MG;8415
MG;1342
MG;429
MG;746
MG;106
MG;1073
MG;1925
MG;2110
MG;746
MG;1537
MG;1514
MG;1300
MG;1532
MG;564
MG;1891
MG;10608
MG;93
MG;255
MG;1023
MG;12633
MG;218
MG;4825
MG;135
MG;1556
MG;958
MG;787
MG;2006
MG;413
MG;2069
MG;232
MG;4503
MG;2404
MG;320
MG;250
MG;294
MG;162
MG;576
MG;287
MG;360
MG;1417
MG;236
MG;983
MG;363
MG;7751
MG;4150
MG;278
MG;923
MG;74
MG;251
MG;414
MG;2578
MG;35156
MG;168
MG;1034
MG;392
MG;306
MG;374
MG;6195
MG;68
MG;757
MG;1861
MG;791
MG;5285
MG;2314
MG;1527
MG;101
MG;626
MG;383
MG;7085
MG;256
MG;154
MG;4848
MG;204
MG;793
MG;954
MG;425
MG;324
MG;142
MG;86
MG;1485
MG;581
MG;3821
MG;513
MG;1190
MG;322
MG;1381
MG;6009
MG;1629
MG;3028
MG;1097
MG;443
MG;896
MG;8115
MG;290
MG;1103
MG;296
MG;344
MG;128
MG;1060
MG;293
MG;529
MG;153
MG;2348
MG;294
MG;1633
MG;248
MG;1087
MG;901
MG;3151
MG;155
MG;211
MG;1017
MG;715
MG;465
MG;393
MG;730
MG;174
MG;593
MG;743
MG;1506
MG;10
MG;310
MG;828
MG;63
MG;425
MG;1111
MG;1552
MG;1200
MG;1000
MG;4337
MG;355
MG;1180
MG;2430
MG;36459
MG;114
MG;571
MG;109
MG;159
MG;529
MG;9944
MG;1792
MG;1423
MG;172
MG;3926
MG;540
MG;176
MG;347
MG;405
MG;1937
MG;260
MG;382
MG;1790
MG;16068
MG;431
MG;1655
MG;379
MG;1255
MG;4627
MG;262
MG;1532
MG;536
MG;95
MG;56
MG;122
MG;160
MG;4147
MG;87
MG;144
MG;313
MG;271
MG;3990
MG;2171
MG;5106
MG;321
MG;260
MG;1022
MG;137
MG;176
MG;606
MG;59
MG;360
MG;372
MG;1462
MG;5236
MG;8988
MG;1609
MG;1332
MG;1691
MG;1562
MG;925
MG;107
MG;90
MG;8708
MG;238
MG;14619
MG;8178
MG;364
MG;349
MG;173
MG;410
MG;720
MG;1332
