estado;casos
Espírito Santo;3291
Espírito Santo;2571
Espírito Santo;586
Espírito Santo;2039
Espírito Santo;2419
Espírito Santo;1496
Espírito Santo;1081
Espírito Santo;5145
Espírito Santo;4072
Espírito Santo;1313
Espírito Santo;6431
Espírito Santo;936
Espírito Santo;11776
Espírito Santo;1683
Espírito Santo;64057
Espírito Santo;3081
Espírito Santo;2355
Espírito Santo;4342
Espírito Santo;8020
Espírito Santo;1004
Espírito Santo;2997
Espírito Santo;62287
Espírito Santo;54008
Goiás;1338536
Maranhão;5164
Maranhão;179
Maranhão;674
Maranhão;306
Maranhão;975
Maranhão;318
Maranhão;1152
Maranhão;1906
Maranhão;851
Maranhão;172
Maranhão;1576
Maranhão;893
Maranhão;829
Maranhão;499
Maranhão;806
Maranhão;651
Maranhão;1281
Maranhão;681
Maranhão;191
Maranhão;4905
Maranhão;321
Maranhão;549
Maranhão;117
Maranhão;9592
Maranhão;425
Maranhão;5668
Maranhão;2064
Maranhão;213
Maranhão;400
Maranhão;296
Maranhão;276
Maranhão;292
Maranhão;15
Maranhão;1392
Maranhão;3081
Maranhão;461
Maranhão;886
Maranhão;295
Maranhão;752
Maranhão;1395
Maranhão;3254
Maranhão;441
Maranhão;281
Maranhão;97
Maranhão;228
Maranhão;1038
Maranhão;108
Maranhão;812
Maranhão;634
Maranhão;825
Maranhão;874
Maranhão;10650
Maranhão;201
Maranhão;44
Maranhão;465
Maranhão;982
Maranhão;4361
Maranhão;525
Maranhão;2791
Maranhão;1619
Maranhão;2978
Maranhão;221
Maranhão;3047
Maranhão;1346
Maranhão;564
Maranhão;1202
Maranhão;735
Maranhão;896
Maranhão;3396
Maranhão;1455
Maranhão;847
Maranhão;1236
Maranhão;1174
Maranhão;1460
Maranhão;144
Maranhão;969
Maranhão;402
Maranhão;615
Maranhão;830
Maranhão;260
Maranhão;740
Maranhão;839
Maranhão;124
Maranhão;4736
Maranhão;367
Maranhão;1565
Maranhão;259
Maranhão;714
Maranhão;1608
Maranhão;16389
Maranhão;881
Maranhão;2744
Maranhão;805
Maranhão;91
Maranhão;1131
Maranhão;695
Maranhão;585
Maranhão;310
Maranhão;2603
Maranhão;517
Maranhão;587
Maranhão;739
Maranhão;1685
Maranhão;263
Maranhão;373
Maranhão;1079
Maranhão;713
Maranhão;531
Maranhão;505
Maranhão;541
Maranhão;231
Maranhão;618
Maranhão;350
Maranhão;384
Maranhão;983
Maranhão;239
Maranhão;240
Maranhão;891
Maranhão;1073
Maranhão;262
Maranhão;2097
Maranhão;771
Maranhão;320
Maranhão;812
Maranhão;335
Maranhão;112
Maranhão;468
Maranhão;816
Maranhão;660
Maranhão;828
Maranhão;175
Maranhão;977
Maranhão;999
Maranhão;1293
Maranhão;770
Maranhão;214
Maranhão;1061
Maranhão;3766
Maranhão;113
Maranhão;471
Maranhão;286
Maranhão;953
Maranhão;1411
Maranhão;2939
Maranhão;1733
Maranhão;616
Maranhão;1673
Maranhão;1647
Maranhão;232
Maranhão;2099
Maranhão;113
Maranhão;335
Maranhão;204
Maranhão;293
Maranhão;82
Maranhão;1374
Maranhão;1829
Maranhão;451
Maranhão;501
Maranhão;389
Maranhão;50
Maranhão;2030
Maranhão;7944
Maranhão;4838
Maranhão;881
Maranhão;501
Maranhão;743
Maranhão;208
Maranhão;239
Maranhão;1364
Maranhão;1495
Maranhão;835
Maranhão;1062
Maranhão;232
Maranhão;2405
Maranhão;260
Maranhão;481
Maranhão;410
Maranhão;194
Maranhão;525
Maranhão;333
Maranhão;1096
Maranhão;2411
Maranhão;2493
Maranhão;581
Maranhão;41422
Maranhão;1122
Maranhão;1988
Maranhão;585
Maranhão;398
Maranhão;1955
Maranhão;129
Maranhão;403
Maranhão;220
Maranhão;307
Maranhão;463
Maranhão;304
Maranhão;206
Maranhão;1686
Maranhão;231
Maranhão;215
Maranhão;907
Maranhão;542
Maranhão;6014
Maranhão;1350
Maranhão;248
Maranhão;1974
Maranhão;322
Maranhão;621
Maranhão;1296
Maranhão;1729
Maranhão;1522
Maranhão;325
Maranhão;581
Maranhão;1658
Maranhão;2178
Maranhão;5138
Minas Gerais;425
Minas Gerais;1184
Minas Gerais;1054
Minas Gerais;223
Minas Gerais;743
Minas Gerais;509
Minas Gerais;169
Minas Gerais;599
Minas Gerais;899
Minas Gerais;402
Minas Gerais;1891
Minas Gerais;283
Minas Gerais;439
Minas Gerais;225
Minas Gerais;3056
Minas Gerais;8530
Minas Gerais;464
Minas Gerais;3789
Minas Gerais;473
Minas Gerais;1243
Minas Gerais;674
Minas Gerais;384
Minas Gerais;711
Minas Gerais;424
Minas Gerais;443
Minas Gerais;634
Minas Gerais;254
Minas Gerais;146
Minas Gerais;3461
Minas Gerais;206
Minas Gerais;116
Minas Gerais;640
Minas Gerais;561
Minas Gerais;160
Minas Gerais;70
Minas Gerais;83
Minas Gerais;1581
Minas Gerais;14863
Minas Gerais;156
Minas Gerais;431
Minas Gerais;1809
Minas Gerais;249
Minas Gerais;706
Minas Gerais;12321
Minas Gerais;1018
Minas Gerais;4743
Minas Gerais;843
Minas Gerais;254
Minas Gerais;83
Minas Gerais;664
Minas Gerais;1297
Minas Gerais;1085
Minas Gerais;259
Minas Gerais;1400
Minas Gerais;601
Minas Gerais;1528
Minas Gerais;454
Minas Gerais;481
Minas Gerais;3534
Minas Gerais;326
Minas Gerais;7607
Minas Gerais;374
Minas Gerais;1778
Minas Gerais;771
Minas Gerais;196
Minas Gerais;223672
Minas Gerais;2535
Minas Gerais;830
Minas Gerais;145
Minas Gerais;167
Minas Gerais;337
Minas Gerais;28725
Minas Gerais;111
Minas Gerais;1375
Minas Gerais;118
Minas Gerais;3944
Minas Gerais;176
Minas Gerais;2174
Minas Gerais;4068
Minas Gerais;459
Minas Gerais;601
Minas Gerais;213
Minas Gerais;606
Minas Gerais;910
Minas Gerais;940
Minas Gerais;380
Minas Gerais;459
Minas Gerais;56
Minas Gerais;1433
Minas Gerais;1550
Minas Gerais;226
Minas Gerais;203
Minas Gerais;1184
Minas Gerais;1005
Minas Gerais;218
Minas Gerais;777
Minas Gerais;3426
Minas Gerais;774
Minas Gerais;305
Minas Gerais;362
Minas Gerais;1644
Minas Gerais;1247
Minas Gerais;387
Minas Gerais;628
Minas Gerais;226
Minas Gerais;637
Minas Gerais;490
Minas Gerais;143
Minas Gerais;971
Minas Gerais;1887
Minas Gerais;136
Minas Gerais;372
Minas Gerais;813
Minas Gerais;91
Minas Gerais;2960
Minas Gerais;3418
Minas Gerais;657
Minas Gerais;216
Minas Gerais;1583
Minas Gerais;1575
Minas Gerais;1120
Minas Gerais;210
Minas Gerais;6338
Minas Gerais;835
Minas Gerais;890
Minas Gerais;1080
Minas Gerais;1938
Minas Gerais;544
Minas Gerais;237
Minas Gerais;986
Minas Gerais;640
Minas Gerais;199
Minas Gerais;346
Minas Gerais;152
Minas Gerais;2001
Minas Gerais;726
Minas Gerais;702
Minas Gerais;1961
Minas Gerais;373
Minas Gerais;1007
Minas Gerais;835
Minas Gerais;852
Minas Gerais;984
Minas Gerais;120
Minas Gerais;1702
Minas Gerais;3469
Minas Gerais;8626
Minas Gerais;508
Minas Gerais;517
Minas Gerais;2282
